channel_title,channel_id,view_count,subscriber_count,video_count
Dr. Eric Berg DC,UC3w193M5tYPJqF0Hi-7U-2g,2218529526,11300000,5012
Bodybuilding Workout Routine And Diet Planing,UCxjc8mUzILAiXGPf1lBhqdQ,402657476,5620000,296
Diet Tomorrow 明天再減肥,UCJphJORl0rOtskNvlWgYqMw,311688339,480000,415
Nutrition By Kylie,UCcffZfMDLakH-hs89uSKxQg,303533303,1090000,173
먹었서연DIET,UCjmuMPcWNXat3JfqgFRCuSA,285684198,185000,975
Ronic Nutrition,UCyoTWqR_dIwVYAJkOfU3WRw,285155404,444000,310
Optimum Nutrition,UCVmARo0K-clV0FzZlexrf6w,280200236,87100,155
KenDBerryMD,UCIma2WOQs1Mz2AuOt6wRSUw,271710256,2940000,1037
yoyomax12 - the diet free zone,UCQo1BANqbQeBKJbw8_ob3UA,237465611,757000,1268
NutritionFacts.org,UCddn8dUxYdgJz3Qr5mjADtA,230037450,1070000,2522
トレぴな【脱ムチコ】,UCSZZl1jaQ3Z3Or2yzohWKoA,208478527,892000,310
이지은 다이어트 Jiny diet,UCKEspD9kts44sG5E80kQcjQ,177443650,1350000,172
Optimum Nutrition India,UC-DOBqjjDVXvcMBBYeXCVyQ,166830074,238000,242
HealthNut Nutrition,UCZB32syI0FFtThd6xkPTRrg,117518639,959000,1081
Abbott Nutrition Colombia,UCRRQ6YnvfiazB1P9CG4tP-w,111280951,46400,219
Tamil Diet Studio,UCeBWU9awHX3WPR7chSCoE0g,101798529,627000,692
Dr Jean-Michel Cohen,UCOW2nWK-35Wdu-e0HTvHXXA,96770993,840000,786
Kayla Kowalski Nutrition,UCYc-NlH9BiXollqR6Edbz-Q,88910239,226000,395
Evogen Nutrition,UCVL-Ek0HyIDtcCb0AvnpapA,75732182,488000,746
Vickypedia,UCDgacZalC4UJ4dgBbhTtU7g,72692614,659000,610
The Nutrition Narc,UCsuFSwuny0VAPJ2GXmO3Glg,71675715,82900,2072
リナエット 리나어트 rina×diet,UCfs-NGjyv1A8wg9k8JZBmNg,67726075,113000,327
Autumn Bates,UCkPBo8hqEOiE3bg9t7ZGT2Q,61043554,574000,794
Simnett Nutrition,UCpyhJZhJQWKDdJCR07jPY-Q,58911559,701000,523
よぴしゃん / diet vlog ダイエット&暮らし,UCZpn4XOHUxXHiqIbFGN67oQ,55983723,88300,643
Diet Doctor,UCyxv-Kecjm1eH83nmDmVlvA,52079550,585000,967
Joe Duff - The Diet Chef,UClERG7IuNpqoqtWFEpGAYqw,51907364,580000,550
Diet Recipes By Dt.Natasha Mohan,UCDgcSEEGTW78AfxZ528O2Sw,47900068,476000,183
Alani Nutrition,UCshejrBjCKMuT6J1IevHwBg,47075771,3290,155
Dr. Nat Nutrition,UCrtpp33LX6z2y3wTxf8J0Mw,44216210,485000,376
Zec+ Nutrition,UCgPEzs1a7ehQwtumHAV0NKQ,43689093,176000,465
All About Nutrition,UCLBRUKmsxn76xnlyHDQx-rA,41906121,302000,463
Diet Kundali,UCaVYINljOxLW-mX5kA9XdOg,41664088,442000,698
Olimp Sport Nutrition,UCuEqPyLYfaz5CkAyAOEQGQg,37432043,68700,1348
Diet Santuy,UC4kW7kFkyvmxDMj1g2eGRZg,37366760,552000,226
Ziwa Health,UCZg8lxfj3SS-Z6ZjDoKA6mw,36698308,122000,444
Nutrition center Thawab Alghabra,UC4x1K3rSd_Je3SuAmah8eYA,36242169,359000,384
Vegan Gains,UCr2eKhGzPhN5RPVk5dd5o3g,34731907,314000,1047
Eggoz Nutrition,UCvOeMEgO1zFZhWb0f9btJCw,33778473,3970,100
Shawn Baker MD,UC5apkKkeZQXRSDbqSalG8CQ,33708816,281000,1152
5% Nutrition,UCm2hkobWQ9cEMPVqGp9mCUA,33696635,146000,374
NUTRITION 99,UCfmC_rOgtWXoza4Z-OBaI_g,31868645,228000,729
Dien and Mey,UCXvrwJBtp_7-v8tPx6UPBHA,28347794,420000,1277
Hill's Pet Nutrition UK and Ireland,UCTr_ckVHX5lom81iZDqlD5w,28173733,1270,136
Snake Diet,UC_yUeH8TsG5pxqvkOxBtsFA,27160947,182000,659
Dr.Nutrition-DNP دكتور نيوترشن,UCB0HC4i44CZw3-mNLMSxxaQ,27151562,31100,468
Dr.Education - FITNESS & NUTRITION,UCJjW6_TFe962RYMSLr9B4kQ,26938951,366000,748
The Doctor's Diet,UCZvTXQoJ5u8VrlA6zgumhkQ,23789851,426000,294
رجيم بدون تكاليف Diet without costs,UCuLYMxMkHwAsDf7IvY9bonA,23377464,230000,855
Best Diet Tips by -Dr Amruta,UC5oAzZA9ymIVTkIhEt0Rb2A,22811258,254000,626
"Dr. Mary Claire Haver, MD",UCHFffg5HmfoId6E8WTVOc5Q,20643904,220000,442
Dr. Ahmed Metwally - Nutrition Professor,UCRumuUEWbAqjGf_DRDLWRwA,20195946,236000,165
Flexible Dieting Lifestyle,UCBF73y3tK1gYu9p2ag9wJEQ,19457277,278000,321
Ismart Aruna Lifestyle Vlogs,UCGRBPtqOHodL6VThTqEtKlw,18258714,103000,1671
The Lion Diet ,UCuYU1ooextXzb_eIP3XPyZg,17031994,160000,63
Dorian Yates Nutrition ,UC7XOcTLP1aw3kR6q3-WyYbA,16358719,100000,284
うるdietちゃんねる,UCui6R9PY_WzTBUqpArNpe0w,16207420,105000,283
HomeVeda Nutrition,UC66gsXZ2kvOQzMRIrpbxkYQ,14699944,127000,110
Wyeth Nutrition Singapore,UCdQ3b7i2me48716CclT5AvQ,13504879,860,75
Dr. Eric Westman - Adapt Your Life,UCni9TCw0YPwTdu7BYF3j0Eg,13308800,148000,739
Labrada Nutrition,UCze0IKoM9yjYCVhmDP4oQtQ,12220955,88200,388
Wellbeing Nutrition,UCaXzqAwiiRCOYLLJt0Iv0jA,12160152,4460,257
The Frugivore Diet,UCbBj2EehsFjNePdCvYKUNrg,12133613,51600,399
Nutrela Nutrition,UCXwTQvB8L7PVUTx0mfXatTw,11084434,2680,80
Discover Islam Education Trust - DIET,UCJ7KmzMc_OwrjVeKUjOWngQ,10810075,57700,919
High Facts Diet,UC9MnQOSHCg3uN0vZv8abE8g,10598576,18100,199
Goli Nutrition,UC_gQk2zOVS1KmeGkhhCw4Og,10539019,3620,110
Diet Dilemma دكتور هدارة,UCL0ib5PS1Qh8e8rBkGiQ8vw,10278681,228000,55
Ancient Nutrition,UCv0mHE-BBC5VRhfE2yypL3w,9968104,43100,268
Nutrition Library,UCMz0mrbKOtzAifLWkkFIrwQ,9346425,139000,120
GEAR Sports Nutrition,UCidpsBvp9iqgdCvnZC34_-Q,8147405,23400,89
HARDLINE NUTRITION,UCAEwK_CRE_HZcGzVgqaY7tQ,8114814,22200,579
a2ztube Nutrition,UCUHrNOSpz_oEtLlVDxUxjlQ,8011014,39800,364
Amal Hussein Diet,UCNojbG7umZJN95bByiASN0g,7986031,107000,779
Clean Kitchen Nutrition,UCiuwcs93oECRqdpJwwZV4ZQ,7973955,27700,478
New Diet System,UCqK57s1edii4NSJ64d1Im6g,7754685,54000,6278
Food nutrition facts and FITNESS,UCI4dsxS5-jvF_29yERAkRkg,7519211,37400,203
The Balanced Literacy Diet,UCmyHhHVY-xVsh5SbAbPBrfQ,7484530,21600,805
NUTRITION TV 1,UCqQjL-EkY3kwMd8NgRNvwdg,7334681,153000,695
Diet Doctor Español,UCo-ElzXqpVvjdnsElGff_Nw,6931545,207000,138
Kosso Nutrition ,UCfuD_oUEl7_99DU0cKrRGMQ,6846613,28800,247
fitfuel nutrition,UCv3rAoQeHMZIIx5CRfai9ug,6506960,39000,433
Nutrition Villa,UCn2ytYbG8a7Vz_ffeiaxfUg,6498745,107000,296
Health and Nutrition الصحه والتغذية,UCp6yiBeMlhjr7weI6jJh7Ig,5963059,105000,163
KAVI the Diet Chef,UCQWTpD00pAY0dV6fm-c_f7A,5901851,51300,237
Lavleen Kaur's Diet Insight™,UCx9MOVywrKNxhxuiP-856IQ,5768399,141000,137
NDS Health Center Dr Zarna Patel - New Diet System,UCRhSbNMVMEm9dTPA3cUSXRA,5673146,55600,1215
Nutrition with Judy,UCgXrNUokx_Zgprns3z6zqSg,5669736,89500,561
Diet Joov,UC5nJPJLD9l1TAI1H4ZPWzBw,5648315,38800,197
Institute for Integrative Nutrition,UCkav3dFxrkVROt82AzfJodg,5227010,44500,324
Amaka Nutrition,UCsN3uXsKUX9LbQMQk0cEX9w,5130530,64800,150
Precision Nutrition,UCiCpovEgZJiSoMrNAbQQ4Aw,5113979,27900,250
Amrish Patel New Diet System Diet Detox Yog Center,UCCjWvyag6J-tV1SIUcyK9-A,5106168,93400,409
RAW Nutrition,UCeZ_2z6B6L_zgFHOY9dw4Hg,5047725,55600,247
Nutrition Coach Rose,UCAh1SgjgRPonGJ30O7Q9uWA,4917077,73700,475
굿걸 다이어트 [GoodGirl DIET],UCriC5WQZ2gb8nunmqbUKz7A,4777884,5500,365
AFRICAN KETO DIET,UCSYaOwEPU-EGXJTbOeXE_cg,4770876,71100,277
Right Diet with Priti (Tips and Recipes),UCnR9L4QVcsgZwOqS68PYofw,4594165,21200,385
Ferrigno Freedom,UC1ev_bT3u-m6b6BoN39h1Ow,4536833,47100,518
Chicnutrix Beauty Nutrition,UC-zhimxph-BNmQYWlBAwwkg,4438710,3250,774
Nutrition Educationalist,UCnvVAar4rrPFRaGY3QMrTlA,4368128,5860,1551
Evolution Nutrition Lab,UC6LMq_J9M8AwU-5F0TuiYwg,4275899,6900,152
Yoga Nutrition,UCb4aSL1J1CXTxpAihxHVjpw,4056741,13700,960
Hopper Nutrition,UCeSfK7ZzelzLFSqW7AxBH8w,4028271,42600,292
